nohup: 忽略输入
✅ 数据库初始化完成
✅ 场景管理器初始化完成
✅ PVP管理器初始化完成
🚀 赛尔号服务器已启动: http://localhost:3000
🌐 WebSocket 服务: ws://localhost:3000/ws
[API] POST /api/auth/register
[API] POST /api/player/starter
[API] POST /api/quests/story/advance
[API] GET /api/battle/scene/1/0
[API] POST /api/auth/register
[API] POST /api/player/starter
[API] POST /api/quests/story/advance
[API] GET /api/battle/scene/1/0
[API] POST /api/auth/register
[API] POST /api/player/starter
[API] POST /api/quests/story/advance
[API] GET /api/battle/scene/1/0
[API] GET /api/player/profile?_t=1778498120081
[API] GET /api/player/skills?_t=1778498120123
[API] GET /api/auth/me?_t=1778498120156
[API] GET /api/battle/maps?_t=1778498120163
[API] GET /api/shop/list?_t=1778498120163
[API] GET /api/player/profile?_t=1778498120232
[API] GET /api/player/pokedex?_t=1778498130410
[API] GET /api/player/profile?_t=1778498144058
[API] GET /api/player/skills?_t=1778498144121
[API] GET /api/auth/me?_t=1778498144137
[API] GET /api/battle/maps?_t=1778498144143
[API] GET /api/shop/list?_t=1778498144144
[API] GET /api/player/profile?_t=1778498144151
[API] GET /api/player/profile?_t=1778498145744
[API] GET /api/player/skills?_t=1778498145763
[API] GET /api/auth/me?_t=1778498145781
[API] GET /api/battle/maps?_t=1778498145787
[API] GET /api/shop/list?_t=1778498145788
[API] GET /api/player/profile?_t=1778498145803
[API] GET /api/player/profile?_t=1778498627184
[API] GET /api/player/skills?_t=1778498627231
[API] GET /api/auth/me?_t=1778498627253
[API] GET /api/shop/list?_t=1778498627279
[API] GET /api/battle/maps?_t=1778498627278
[API] GET /api/player/profile?_t=1778498627295
[API] GET /api/player/pokedex?_t=1778498630200
[API] GET /api/player/profile?_t=1778498644138
[API] GET /api/player/skills?_t=1778498644150
[API] GET /api/auth/me?_t=1778498644184
[API] GET /api/battle/maps?_t=1778498644210
[API] GET /api/shop/list?_t=1778498644210
[API] GET /api/player/profile?_t=1778498644218
[API] GET /api/player/profile?_t=1778498662273
[API] GET /api/player/skills?_t=1778498662297
[API] GET /api/auth/me?_t=1778498662307
[API] GET /api/battle/maps?_t=1778498662314
[API] GET /api/shop/list?_t=1778498662314
[API] GET /api/player/profile?_t=1778498662395
[API] GET /api/player/profile?_t=1778498676200
[API] GET /api/player/skills?_t=1778498676233
[API] GET /api/auth/me?_t=1778498676246
[API] GET /api/battle/maps?_t=1778498676252
[API] GET /api/shop/list?_t=1778498676252
[API] GET /api/player/profile?_t=1778498676290
[API] GET /api/player/pokedex?_t=1778498677848
[API] GET /api/player/profile?_t=1778499553589
[API] GET /api/player/skills?_t=1778499553618
[API] GET /api/auth/me?_t=1778499553634
[API] GET /api/shop/list?_t=1778499553691
[API] GET /api/battle/maps?_t=1778499553691
[API] GET /api/player/profile?_t=1778499553749
[API] GET /api/player/pokedex?_t=1778499556040
